state,values,id
Alabama,20422.13,1
Alaska,4347.5,0
Arizona,22016.24,1
Arkansas,5707.47,0
California,163512.85,1
Colorado,7580.28,0
Connecticut,14394.22,1
Delaware,4532.42,0
District of Columbia,1330.67,0
Florida,52049.37,3
Georgia,35644.33,2
Hawaii,795.49,0
Idaho,4876.8,0
Illinois,59757.9,3
Indiana,34654.96,2
Iowa,12115.44,1
Kansas,10181.35,1
Kentucky,29199.16,2
Louisiana,48418.79,2
Massachusetts,25891.74,2
Maryland,9658.23,0
Maine,2875.27,0
Michigan,54713.48,3
Minnesota,19202.45,1
Missouri,13934.62,1
Mississippi,10494.72,1
Montana,1360.1,0
North Carolina,30161.26,2
North Dakota,5313.34,0
Nebraska,6380.35,0
New Hampshire,4143.02,0
New Jersey,31222.79,2
New Mexico,3631.62,0
Nevada,9763.16,0
New York,76720.21,3
Ohio,49298.84,2
Oklahoma,5047.88,0
Oregon,21752.61,1
Pennsylvania,36484.39,2
Puerto Rico,19886.71,1
Rhode Island,2277.83,0
South Carolina,31321.94,2
South Dakota,1223.35,0
Tennessee,31432.68,2
Texas,231106.72,1
Utah,12077.72,1
Virginia,16313.18,1
Virgin Islands,301.21,0
Vermont,2989.76,0
Washington,79559.49,3
Wisconsin,21021.23,1
West Virginia,5045.39,0
Wyoming,1098.11,0
Unidentified,45767.93,2
